iter	Passed	Remaining
491	211703	218588
492	212147	218171
493	212553	217716
494	213055	217359
495	213544	216989
496	213986	216570
497	214457	216180
498	214825	215686
499	215226	215226
500	215734	214873
501	216170	214447
502	216667	214082
503	217140	213694
504	217643	213333
505	218104	212932
506	218563	212528
507	218975	212078
508	219371	211613
509	219902	211279
510	220502	211008
511	220926	210570
512	221335	210117
513	221800	209718
514	222210	209266
515	222656	208848
516	223148	208473
517	223563	208026
518	224113	207704
519	224561	207287
520	224962	206827
521	225393	206394
522	225843	205980
523	226278	205551
524	226766	205169
525	227417	204935
526	227743	204407
527	228223	204017
528	228663	203592
529	229095	203159
530	229554	202751
531	229986	202319
532	230395	201866
533	230898	201495
534	231349	201079
535	231791	200655
536	232211	200212
537	232646	199781
538	232967	199254
539	233359	198787
540	233697	198276
541	233984	197721
542	234105	197028
543	234220	196332
544	234332	195635
4431	186614
546	224916	186265
547	225299	185831
548	225771	185470
549	226206	185077
550	226609	184660
551	227052	184274
552	227415	183824
553	227877	183454
554	228336	183080
555	228787	182700
556	229202	182291
557	229651	181910
558	230060	181496
559	230502	181109
560	230917	180699
561	231343	180299
562	231816	179935
29401	1773385564	229819	1769405565	230120	1764525566	230595	1760985567	230970	1756675568	231430	1753015569	231886	1749315570	232218	1744685571	232545	174002
572	232871	173536573	232664	172674
574	232964	172190
575	233175	171642
576	233392	171100
577	233654	170592
578	233874	170053
