iter	RMSE
420	0.02563319344
421	0.02553264624
422	0.02542197872
423	0.02540326489
424	0.02525535169
425	0.02507990654
426	0.02506154393
427	0.02496823643
428	0.0248672148
429	0.02474450536
430	0.02461690908
431	0.02445748238
432	0.02432868921
433	0.02423221017
434	0.02413244662
435	0.02401011203
436	0.02390503966
437	0.02380105588
438	0.02369970641
439	0.02365208809
440	0.02355494164
441	0.02351923095
442	0.02339639283
443	0.02329153765
444	0.02322818979
445	0.02321288648
446	0.02310501901
447	0.02304973861
448	0.02295510597
449	0.02289766258
450	0.02272271604
451	0.02263206686
452	0.02259023182
453	0.02248721842
454	0.02235762537
455	0.02234786549
456	0.0222309254
457	0.02213843712
458	0.02201170213
459	0.02189700733
460	0.02179592179
461	0.02172774214
462	0.02166406905
463	0.02156358945
464	0.02148555553
465	0.02136657445
466	0.02123081507
467	0.02117471832
468	0.02108292644
469	0.02096009669
470	0.02082740917
471	0.02074115538
472	0.02064916708
473	0.02057148228
474	0.02046720127
475	0.02039228197
476	0.02032158057
477	0.02023428145
478	0.020099305
479	0.01999474497
480	0.01993188347
481	0.01980230571
482	0.01977308781
483	0.01969779682
484	0.01968240109
485	0.0195742151
486	0.01948409377
487	0.01939966122
488	0.01930475111
489	0.01923275868
490	0.01914419037
491	0.01904617778
492	0.01898123945
493	0.01888410071
494	0.01879801489
495	0.01872244194
496	0.01862882191
497	0.01853227059
498	0.01843389182
499	0.01835296677
500	0.01823674276
501	0.01817642148
502	0.01809900302
503	0.01807676063
504	0.01805265815
505	0.01800929278
506	0.01793149733
507	0.01785229313
508	0.01783569736
509	0.01775400261
510	0.01770174615
511	0.01759142609
512	0.01748377771
513	0.0174653942
514	0.01736563826
515	0.01732932059
516	0.01725551765
517	0.01716668928
518	0.01713039717
519	0.01704554456
520	0.0169521538
521	0.0168722214
522	0.01682143286
523	0.01675246703
524	0.0166920672
525	0.01662886973
526	0.016541526
527	0.016460026
528	0.01644698845
529	0.01636912935
530	0.01628566434
531	0.01623166545
532	0.01612493852
533	0.01603721765
534	0.01596475653
535	0.01591178658
536	0.01582937152
537	0.01576183817
538	0.01570967964
539	0.01570257844
540	0.0156299888
541	0.01556119434
542	0.01549577391
543	0.01543604198
544	0.01538299433
5768451
547	0.01776166682
548	0.01767152697
549	0.01760050746
550	0.0175034363
551	0.01742376074
552	0.01734371283
553	0.0172511763
554	0.01717905268
555	0.01708924399
556	0.01706969564
557	0.01703541353
558	0.01695724911
559	0.01684957592
560	0.01680951001
561	0.01671961874
562	0.01664771144
0012182
562	0.01506440411
563	0.01501552863
564	0.01497260643
565	0.01492944263
566	0.01488887764
567	0.01483540275
568	0.01477680999
569	0.01472811124
570	0.01468403966
571	0.01460969192
572	0.01454868544
1697287
573	0.01505977676
574	0.01501205357
575	0.01500802431
576	0.01496343159
577	0.01491985733
578	0.01488026322
