iter	RMSE
0	0.387532721
11	0.380501061322	0.371162761933	0.359143160944	0.348945065955	0.338145876	66	0.327861447	7	0.3201861418	8	0.3103301249	9	0.3005014231010	0.2926483745
11	0.2845166371
12	0.2768596663
13	0.2694314457
14	0.2622851991
15	0.2557404397
16	0.2505634957
17	0.2443450597
18	0.2380773104
19	0.2335474831
20	0.227620318
21	0.2230409351
22	0.2181769775
23	0.2132441259
224	0.2088442287225	0.204961048
26	0.2005933416
27	0.1967770935
28	0.1951592719
29	0.1916905753
30	0.1881283984331	0.1849179237332	0.1818281873333	0.1793598869334	0.1769589478335	0.1740548299336	0.1717516904337	0.1692249352338	0.1668107783339	0.1649525807440	0.1629402634441	0.1606467739442	0.1585634766
43	0.1568377774
44	0.1550251738
45	0.1529176092
46	0.1508704144
47	0.1493741873
48	0.1477447877
49	0.1459765525
50	0.1442140788
51	0.1428629534
52	0.1414896353	53	0.1402842054	54	0.1390664855	55	0.137781865656	0.1365696375757	0.1357127525858	0.1342798765959	0.1333809296060	0.1322861	061	0.1232966478
6262	0.1301763	06363	0.1291264	06464	0.1280165	65	0.118642066	066	0.117791567	067	0.116785468	068	0.115945269	69	0.1151748770	70	0.1142550947
71	0.1134137699
72	0.1126991649
73	73	0.1202197674	74	0.1194475	75	75	0.1189262076	76	0.1181277	77	77	0.1174278	78	78	0.116696037979	0.1160464338080	0.1153682958181	0.1147231638282	0.11394396883	0.1133379901884	0.112686759
85	0.1121451792
86	0.1113319734
87	0.1106613184
88	0.1102160503
89	0.1094880583
90	0.1089584222
91	0.1083232566
92	0.09975620364993	0.09923812559494	0.0986619795	095	0.098190296	0.96	0.09752797	0.197	0.0970398	0.1098	0.09650907444
99	0.09605272647
100	0.09563649567
101	0.09521574834
102	0.09476242481
103	0.09428217177
104	0.09386508224
105	0.09336581632
106	0.0929347422
107	0.09246019066
108	0.09199503161
109	0.0915916998
110	0.09129892207
111	0.09100731251
112	0.09056883344
113	0.09030341549
114	0.08987910314
115	0.08953869511
116	0.0891917298
117	0.08893122128
118	0.08857115303
119	0.08820975582
120	0.08794856004
121	0.08762264158
122	0.08728653561
123	0.08700828663
124	0.08655617023
125	0.08629286626
126	0.08588582956
127	0.08561830335
128	0.08524989241
129	0.08477348061
130	0.08458804485
131	0.08413176067
132	0.08368331591
133	0.08350141834
134	0.08304687322
135	0.0826445316
136	0.08246659493
137	0.08208090995
138	0.08180944079
139	0.08155435661
140	0.08126084218
141	0.08102472743
142	0.08063147518
143	0.08028334208
144	0.07997230883
145	0.07971215704
146	0.07952589258
147	0.07935415381
148	0.07906208803
149	0.07888651234
150	0.07856502303
151	0.07829938722
152	0.07820669169
153	0.07786430745
154	0.07763893815
155	0.07735262572
156	0.07696538665
157	0.07662260148
158	0.07634380733
159	0.07604348509
160	0.07594877351
161	0.07580522327
162	0.07555273792
163	0.07528542986
164	0.07491472051
165	0.07468603581
166	0.07430942173
167	0.07399061629
168	0.07367107049
169	0.0735035768
170	0.07328437107
171	0.07279292752
172	0.07260115283
173	0.07221470862
174	0.07206846374
175	0.07192983481
176	0.07159750925
177	0.07124423182
178	0.07089322948
179	0.07049835227
180	0.07038297887
181	0.07005896932
182	0.06986780088
183	0.06972923094
184	0.06938589231
185	0.0691371547
186	0.06902814029
187	0.06854659509
188	0.0682876483
189	0.06794004626
190	0.06759739247
191	0.0673882742
192	0.06703832558
193	0.06686616156
194	0.06648455638
195	0.06614449391
196	0.06578994714
197	0.06560677908
198	0.0655149754
199	0.06517487255
200	0.06504942918
201	0.06467173735
202	0.0643885188
203	0.06410319988
204	0.06371931739
205	0.0634638486
206	0.06338144476
207	0.06312143144
208	0.06277391509
209	0.06253853755
210	0.06221783642
211	0.0619975051
212	0.06189381038
213	0.06179955039
214	0.06165579295
215	0.06135154047
216	0.06106829306
217	0.06076466544
218	0.06046962039
219	0.06006199493
220	0.05972353298
221	0.05934083518
222	0.05906414555
223	0.05891476365
224	0.05862252276
225	0.05823468467
226	0.05800083312
227	0.05770497987
228	0.05738976869
229	0.05716930647
230	0.05685877559
231	0.05653096681
232	0.05644265216
233	0.05620920424
234	0.05585822422
235	0.05576481478
236	0.0555941887
237	0.055263159
238	0.05492424529
239	0.05474734182
240	0.05446894209
241	0.05426129156
242	0.05401855531
243	0.05370483699
244	0.05346853182
245	0.05312145313
246	0.05288147436
247	0.0525534365
248	0.05225533086
249	0.05191003544
250	0.0515743551
251	0.05128987256
252	0.05114954998
253	0.05093430566
254	0.05073561038
255	0.05052011895
256	0.05025494385
257	0.0500375084
258	0.04975060037
259	0.04971293983
260	0.04954988915
261	0.04934145983
262	0.04915441797
263	0.04898592105
264	0.04888113237
265	0.04867755454
266	0.04846755266
267	0.04808666309
268	0.04793156804
269	0.04762485544
270	0.04756638781
271	0.04726018752
272	0.04694003866
273	0.04689853869
274	0.04670643594
275	0.04640572578
276	0.04626108485
277	0.04606062914
278	0.04584266457
279	0.04578747672
280	0.04575407834
281	0.04552369647
282	0.04519808972
283	0.04503242817
284	0.044891023
285	0.04484916962
286	0.04470687689
287	0.04459396573
288	0.04431043539
289	0.04415463287
290	0.04398391353
291	0.04377669531
292	0.04373022436
293	0.04344960665
294	0.04323491351
295	0.04301670964
296	0.04279487347
297	0.04256120749
298	0.04246603683
299	0.04226509833
300	0.04204168243
301	0.04181102635
302	0.04152853974
303	0.04131985824
304	0.04115644253
305	0.0408892539
306	0.04068852645
307	0.04043511674
308	0.04017224342
309	0.04004196823
310	0.04001231459
311	0.0398170523
312	0.0396302402
313	0.03960066795
314	0.0395733699
315	0.03928037197
316	0.03919356254
317	0.03903883723
318	0.03886432593
319	0.03881847194
320	0.03863578295
321	0.03838670312
322	0.03812828296
323	0.03801371036
324	0.03797934016
325	0.03783963839
326	0.03761847621
327	0.03749773898
328	0.03735421956
329	0.03727374201
330	0.03703784311
331	0.03684266654
332	0.03678368098
333	0.03658817416
334	0.03636033663
335	0.03621689947
336	0.036034282833337	0.03584541947
338	0.03566069162
339	0.03554292624
340	0.03550727792
341	0.03527073279
342	0.03509093773
343	0.03500125734344	0.034828067234345	0.03469595534
346	0.03452823186
347	0.03442154301
348	0.03418638352
349	0.0340176312
350	0.03399559009
351	0.03376737893
352	0.03361086152
353	0.03356965143
354	0.03341822045
355	0.03332224411
356	0.03313942195
357	0.03301473596
358	0.03280521439
359	0.03270332974
360	0.03251106486
361	0.03240842963
362	0.03223643853
363	0.03221186234
364	0.03203720285
365	0.03192655619
366	0.03170824707
367	0.0314973092
368	0.03146321742
369	0.03133001104
370	0.03120352998
371	0.03103284572
372	0.0308705664
373	0.03079909323
374	0.03070695312
375	0.03061254992
376	0.03055419793
377	0.03045011397
378	0.030394141
379	0.03022374892
380	0.0301123825
381	0.03004090795
382	0.02989838591
383	0.02975673884
384	0.02965321102
385	0.02950842464
386	0.02940187759
387	0.02937685093
388	0.02916637314
389	0.02910530516
390	0.02905916456
391	0.02891632223
392	0.02878489878
393	0.02874272637
394	0.0286299298
395	0.02846723772
396	0.02841170729
397	0.02826304798
398	0.02810498836
399	0.02796646165
400	0.02788136718
401	0.02776910928
402	0.02769355391
403	0.02753720918
404	0.0273870649
405	0.02728941057
406	0.02719548267
407	0.02708973236
408	0.02698247624
409	0.02693090969
410	0.02676672542
411	0.0266054108
412	0.02647543395
413	0.02637242964
414	0.02627661421
415	0.02619960525
416	0.02618564412
417	0.02606628334
418	0.02592062556
419	0.02578300731
